studyid,study,arm,trt,baseline,narms,n1,n2,n3,y1,y2,y3
Ahmadi 2002,1,1,1,1,2,,,58,,,33
Ahmadi 2002,1,2,2,1,2,,,58,,,12
Anton 1999,2,1,1,1,2,63,63,63,38,42,14
Anton 1999,2,2,2,1,2,68,68,68,26,36,9
Anton 2006,3,1,1,1,4,309,309,309,226,254,88
Anton 2006,3,2,2,1,4,309,309,309,207,241,108
Anton 2006,3,3,3,1,4,303,303,303,211,244,116
Anton 2006,3,4,4,1,4,305,305,305,212,241,124
Baltieri 2003,4,1,1,1,2,,35,35,,21,7
Baltieri 2003,4,2,3,1,2,,40,40,,15,10
Barrias 1997,5,1,1,1,2,,152,152,,121,69
Barrias 1997,5,2,3,1,2,,150,150,,98,64
Besson 1998,6,1,1,1,2,,55,55,,52,36
Besson 1998,6,2,3,1,2,,55,55,,41,36
Borg 2003,7,1,1,1,2,,5,,,3,
Borg 2003,7,2,3,1,2,,5,,,3,
Chick 2000a,8,1,1,1,2,,85,84,,69,49
Chick 2000a,8,2,2,1,2,,90,90,,74,53
Chick 2000b,9,1,1,1,2,292,292,292,242,260,189
Chick 2000b,9,2,3,1,2,289,289,289,246,254,189
Galarza 1997,10,1,1,1,2,,,10,,,4
Galarza 1997,10,2,2,1,2,,,10,,,5
Gastpar 2002,11,1,1,1,2,87,87,87,36,45,33
Gastpar 2002,11,2,2,1,2,84,84,84,34,41,28
Geerlings 1997,12,1,1,1,2,,134,134,,121,92
Geerlings 1997,12,2,3,1,2,,128,128,,103,76
Gual 2001,13,1,1,1,2,,147,147,,109,57
Gual 2001,13,2,3,1,2,,141,141,,92,45
Guardia 2002,14,1,1,1,2,101,,101,19,,42
Guardia 2002,14,2,2,1,2,101,,101,8,,40
Haung 2002,15,1,1,1,2,,22,,,15,
Haung 2002,15,2,2,1,2,,23,,,5,
Hersch 1998,16,1,1,1,2,,,33,,,14
Hersch 1998,16,2,2,1,2,,,31,,,11
Kiefer 2003,17,1,1,1,4,40,40,40,30,37,30
Kiefer 2003,17,2,2,1,4,40,40,40,20,26,18
Kiefer 2003,17,3,3,1,4,40,40,40,25,30,23
Kiefer 2003,17,4,4,1,4,40,40,40,15,18,14
Knox 1999,18,1,1,1,2,,,32,,,18
Knox 1999,18,2,2,1,2,,,31,,,15
Kranzler 2000,19,1,1,1,2,,63,63,,41,13
Kranzler 2000,19,2,2,1,2,,61,61,,43,25
Ladewig 1993,20,1,1,1,2,,32,32,,25,11
Ladewig 1993,20,2,3,1,2,,29,29,,17,10
Latt 2002,21,1,1,1,2,51,,51,27,,17
Latt 2002,21,2,2,1,2,56,,56,19,,23
Lee 2001,22,1,1,1,2,,18,18,,11,14
Lee 2001,22,2,2,1,2,,35,35,,19,21
Lhuintre 1985,23,1,1,1,2,,43,37,,31,6
Lhuintre 1985,23,2,3,1,2,,42,33,,22,9
Lhuintre 1990,24,1,1,1,2,,291,290,,245,109
Lhuintre 1990,24,2,3,1,2,,279,279,,208,104
Mason 2006,25,1,1,1,2,260,260,257,119,240,114
Mason 2006,25,2,3,1,2,341,341,335,143,328,186
Morley 2006,26,1,1,1,3,61,61,61,43,50,21
Morley 2006,26,2,2,1,3,53,53,53,39,44,17
Morley 2006,26,3,3,1,3,55,55,55,40,44,14
Morris 2001,27,1,1,1,2,,,56,,,23
Morris 2001,27,2,2,1,2,,,55,,,17
Namkoong 2003,28,1,1,1,2,70,70,70,42,48,22
Namkoong 2003,28,2,3,1,2,72,72,72,43,45,19
Niederhofer 2002,29,1,1,1,2,,13,,,11,
Niederhofer 2002,29,2,3,1,2,,13,,,6,
O'Malley 1992,30,1,1,1,2,,52,52,,42,21
O'Malley 1992,30,2,2,1,2,,52,52,,30,15
Oslin 1997,31,1,1,1,2,21,23,23,8,8,10
Oslin 1997,31,2,2,1,2,23,21,21,3,6,7
Paille 1995,32,1,1,1,2,,177,177,,161,115
Paille 1995,32,2,3,1,2,,361,361,,294,186
Pelc 1992,33,1,1,1,2,,47,47,,45,37
Pelc 1992,33,2,3,1,2,,55,55,,42,29
Pelc 1997,34,1,1,1,2,,62,62,,53,30
Pelc 1997,34,2,3,1,2,,126,126,,74,39
Poldrugo 1997,35,1,1,1,2,,124,124,,92,77
Poldrugo 1997,35,2,3,1,2,,122,122,,66,57
Rousseaux 1996,36,1,1,1,2,,64,64,,43,17
Rousseaux 1996,36,2,3,1,2,,63,63,,45,18
Sass 1996,37,1,1,1,2,,136,136,,102,81
Sass 1996,37,2,3,1,2,,136,136,,75,57
Temesta 2000,38,1,1,1,2,,166,166,,115,44
Temesta 2000,38,2,3,1,2,,164,164,,87,40
Volpicelli 1992,39,1,1,1,2,35,35,35,19,20,14
Volpicelli 1992,39,2,2,1,2,35,35,35,8,16,11
Volpicelli 1997,40,1,1,1,2,49,49,49,26,32,13
Volpicelli 1997,40,2,2,1,2,48,48,48,17,27,13
Whitworth 1996,41,1,1,1,2,,224,224,,208,139
Whitworth 1996,41,2,3,1,2,,224,224,,183,129
