studyid,study,arm,trt,baseline,narms,y1,n1,y2,n2,y3,n3
9007,1,1,1,1,2,178,271,44,62,,
9007,1,2,2,1,2,188,249,57,73,,
26,2,1,1,1,2,83,89,65,89,59,89
26,2,2,2,1,2,79,85,66,85,63,85
9019,3,1,1,1,2,72,74,59,73,50,59
9019,3,2,2,1,2,140,144,117,144,90,119
48,4,1,1,1,2,54,54,43,54,,
48,4,2,2,1,2,55,55,49,55,,
344,5,1,1,1,2,4,57,3,57,,
344,5,2,3,1,2,6,60,6,61,,
203,6,1,1,1,2,,,,,45.56,136.68
203,6,2,3,1,2,,,,,112.95,137.63
4,7,1,1,1,2,68,82,49,82,,
4,7,2,3,1,2,79,83,59,83,,
41,8,1,1,1,2,,,,,29,143
41,8,2,3,1,2,,,,,47,119
42,9,1,1,1,2,,,60,151,59,151
42,9,2,3,1,2,,,89,150,117,150
9002,10,1,1,1,3,147,149,,,,
9002,10,2,3,1,3,171,173,,,,
9002,10,3,4,1,3,160,163,,,,
279,11,1,1,1,2,,,14,40,8,40
279,11,2,4,1,2,,,34,38,34,38
9023,12,1,1,1,2,70.26,79.58,46.86,57.96,,
9023,12,2,4,1,2,74.07,80,50.87,58.27,,
49,13,1,1,1,2,,,317,367,,
49,13,2,4,1,2,,,322,363,,
345,14,1,1,1,2,683,738,327,669,,
345,14,2,5,1,2,712,762,368,693,,
28,15,1,1,1,2,,,,,67.26,100.12
28,15,2,6,1,2,,,,,71.08,97.83
35,16,1,1,1,2,88.42,248.37,,,,
35,16,2,7,1,2,128.16,248.37,,,,
9042,17,1,1,1,2,,,,,16,138
9042,17,2,7,1,2,,,,,71,139
10001,18,1,1,1,2,,,,,82,91
10001,18,2,8,1,2,,,,,222,232
12,19,1,2,2,2,14,47,22,47,27,47
12,19,2,3,2,2,19,49,34,49,35,49
29,20,1,2,2,2,44,49,32,41,,
29,20,2,5,2,2,43,45,40,48,,
24,21,1,4,4,2,,,261,469,,
24,21,2,7,4,2,,,273,482,,
14,22,1,3,3,2,22,101,,,1,101
14,22,2,9,3,2,20,104,,,0,104
