studyid1,s,t1,t2,t3,o,out,narms
9007,1,1,2,,1,1,2
9007,1,1,2,,2,2,2
9007,1,1,2,,0,3,2
26,2,1,2,,1,1,2
26,2,1,2,,2,2,2
26,2,1,2,,3,3,2
9019,3,1,2,,1,1,2
9019,3,1,2,,2,2,2
9019,3,1,2,,3,3,2
48,4,1,2,,1,1,2
48,4,1,2,,2,2,2
48,4,1,2,,0,3,2
344,5,1,2,,1,1,2
344,5,1,2,,2,2,2
344,5,1,2,,0,3,2
203,6,1,2,,0,1,2
203,6,1,2,,0,2,2
203,6,1,2,,3,3,2
4,7,1,3,,1,1,2
4,7,1,3,,2,2,2
4,7,1,3,,0,3,2
41,8,1,3,,0,1,2
41,8,1,3,,0,2,2
41,8,1,3,,3,3,2
42,9,1,3,,0,1,2
42,9,1,3,,2,2,2
42,9,1,3,,3,3,2
9002,10,1,3,4,1,1,3
9002,10,1,3,4,0,2,3
9002,10,1,3,4,0,3,3
279,11,1,4,,0,1,2
279,11,1,4,,2,2,2
279,11,1,4,,3,3,2
9023,12,1,4,,1,1,2
9023,12,1,4,,2,2,2
9023,12,1,4,,0,3,2
49,13,1,4,,0,1,2
49,13,1,4,,2,2,2
49,13,1,4,,0,3,2
345,14,1,5,,1,1,2
345,14,1,5,,2,2,2
345,14,1,8,,0,3,2
28,15,1,8,,0,1,2
28,15,1,8,,0,2,2
28,15,1,5,,3,3,2
35,16,1,6,,1,1,2
35,16,1,6,,0,2,2
35,16,1,6,,0,3,2
9042,17,1,6,,0,1,2
9042,17,1,6,,0,2,2
9042,17,1,6,,3,3,2
10001,18,1,9,,0,1,2
10001,18,1,9,,0,2,2
10001,18,1,7,,3,3,2
12,19,2,3,,1,1,2
12,19,2,3,,2,2,2
12,19,2,3,,3,3,2
29,20,2,5,,1,1,2
29,20,2,5,,2,2,2
29,20,2,8,,0,3,2
24,21,4,6,,0,1,2
24,21,4,6,,2,2,2
24,21,4,6,,0,3,2
14,22,3,7,,1,1,2
14,22,3,7,,2,2,2
14,22,3,9,,0,3,2
END,,,,,,,
